,book_id,count,mean,title,ratings,cover_image,mod_title,adjusted_count,score
0,1,11,5.0,The Hunger Games,22806,https://images.gr-assets.com/books/1447303603m/2767052.jpg,thehungergames,0.005305621327720776,0.02652810663860388
193,258,5,5.0,La sombra del viento,3531,https://images.gr-assets.com/books/1344545047m/1232.jpg,lasombradelviento,0.007080147267063156,0.03540073633531578
280,39,8,5.0,A Game of Thrones,10692,https://images.gr-assets.com/books/1436732693m/13496.jpg,agameofthrones,0.005985783763561541,0.029928918817807706
276,384,8,5.0,Frostbite,2219,https://images.gr-assets.com/books/1361098960m/2282133.jpg,frostbite,0.028841820639927896,0.14420910319963948
239,325,8,5.0,A Prayer for Owen Meany,3868,https://images.gr-assets.com/books/1260470010m/4473.jpg,aprayerforowenmeany,0.016546018614270942,0.0827300930713547
238,323,6,5.0,Nesnesitelná lehkost bytí,3120,https://images.gr-assets.com/books/1265401884m/9717.jpg,nesnesitelnlehkostbyt,0.011538461538461539,0.057692307692307696
229,311,6,5.0,The Thorn Birds,3721,https://images.gr-assets.com/books/1391416796m/3412.jpg,thethornbirds,0.009674818597151302,0.04837409298575651
206,274,8,5.0,The Godfather,2772,https://images.gr-assets.com/books/1394988109m/22034.jpg,thegodfather,0.023088023088023088,0.11544011544011544
204,270,6,5.0,Rebecca,4220,https://images.gr-assets.com/books/1327871977m/12873.jpg,rebecca,0.008530805687203791,0.042654028436018954
175,233,8,5.0,El amor en los tiempos del cólera,4459,https://images.gr-assets.com/books/1327124987m/9712.jpg,elamorenlostiemposdelclera,0.01435299394483068,0.0717649697241534
111,176,3,5.0,It,4853,https://images.gr-assets.com/books/1309376909m/18342.jpg,it,0.001854522975479085,0.009272614877395426
170,225,9,5.0,East of Eden  ,4576,https://images.gr-assets.com/books/1441547516m/4406.jpg,eastofeden,0.017701048951048952,0.08850524475524477
152,205,8,5.0,Interview with the Vampire,5764,https://images.gr-assets.com/books/1380631642m/43763.jpg,interviewwiththevampire,0.011103400416377515,0.055517002081887576
147,202,6,5.0,"Hush, Hush",2601,https://images.gr-assets.com/books/1358261334m/6339664.jpg,hushhush,0.01384083044982699,0.06920415224913495
143,20,8,5.0,Mockingjay,15953,https://images.gr-assets.com/books/1358275419m/7260188.jpg,mockingjay,0.0040117846173133576,0.020058923086566788
139,196,5,5.0,Fight Club,3917,https://images.gr-assets.com/books/1357128997m/5759.jpg,fightclub,0.006382435537401072,0.03191217768700536
133,191,7,5.0,Watchmen,3825,https://images.gr-assets.com/books/1442239711m/472331.jpg,watchmen,0.01281045751633987,0.06405228758169934
123,183,6,5.0,Clockwork Angel,3366,https://images.gr-assets.com/books/1454962884m/7171637.jpg,clockworkangel,0.0106951871657754,0.053475935828877004
283,394,7,5.0,Shadow Kiss,2098,https://images.gr-assets.com/books/1361099049m/2802316.jpg,shadowkiss,0.023355576739752144,0.11677788369876071
285,397,4,5.0,Das Parfum. Die Geschichte eines Mörders,2121,https://images.gr-assets.com/books/1409112276m/343.jpg,dasparfumdiegeschichteeinesmrders,0.007543611504007544,0.03771805752003772
299,413,5,5.0,Les Trois Mousquetaires,3062,https://images.gr-assets.com/books/1320436982m/7190.jpg,lestroismousquetaires,0.008164598301763554,0.04082299150881777
302,419,8,5.0,Blood Promise,2013,https://images.gr-assets.com/books/1442530605m/5996153.jpg,bloodpromise,0.031793343268753105,0.15896671634376552
500,992,7,5.0,The Twilight Saga,932,https://images.gr-assets.com/books/1327930511m/3090465.jpg,thetwilightsaga,0.05257510729613734,0.2628755364806867
492,964,8,5.0,The Hobbit and The Lord of the Rings,1400,https://images.gr-assets.com/books/1346072396m/30.jpg,thehobbitandthelordoftherings,0.045714285714285714,0.22857142857142856
444,757,6,5.0,Lonesome Dove,1920,https://images.gr-assets.com/books/1378573063m/256008.jpg,lonesomedove,0.018750000000000003,0.09375000000000001
435,72,6,5.0,The Shining,6861,https://images.gr-assets.com/books/1353277730m/11588.jpg,theshining,0.005247048535198951,0.026235242675994756
418,67,8,5.0,A Thousand Splendid Suns,7662,https://images.gr-assets.com/books/1345958969m/128029.jpg,athousandsplendidsuns,0.00835291046724093,0.04176455233620465
413,66,10,5.0,Gone with the Wind,7714,https://images.gr-assets.com/books/1328025229m/18405.jpg,gonewiththewind,0.012963443090484833,0.06481721545242417
394,620,6,5.0,The Mists of Avalon,2380,https://images.gr-assets.com/books/1388857089m/402045.jpg,themistsofavalon,0.015126050420168069,0.07563025210084034
